evidence_id,steward_id,observed_date,date_precision,source_country_code,analysis_country_code,evidence_dimension,source_type,source_url,source_title,source_note
fia_2022_budapest_dennis_dean,dennis_dean,2022-07-29,exact,USA,USA,fia_published_country_code,official_fia_event_visa,https://www.fia.com/sites/default/files/decision-document/2022%20Budapest%20Event%20-%20VISA.pdf,2022 Budapest Event Visa,FIA event visa publishes Dennis Dean as USA.
fia_2022_budapest_silvia_bellot,silvia_bellot,2022-07-29,exact,ESP,ESP,fia_published_country_code,official_fia_event_visa,https://www.fia.com/sites/default/files/decision-document/2022%20Budapest%20Event%20-%20VISA.pdf,2022 Budapest Event Visa,FIA event visa publishes Silvia Bellot as ESP.
fia_2022_budapest_loic_bacquelaine,loic_bacquelaine,2022-07-29,exact,LUX,LUX,fia_published_country_code,official_fia_event_visa,https://www.fia.com/sites/default/files/decision-document/2022%20Budapest%20Event%20-%20VISA.pdf,2022 Budapest Event Visa,FIA event visa publishes Loic Bacquelaine as LUX.
fia_2022_budapest_natalie_corsmit,natalie_corsmit,2022-07-29,exact,NLD,NED,fia_published_country_code,official_fia_event_visa,https://www.fia.com/sites/default/files/decision-document/2022%20Budapest%20Event%20-%20VISA.pdf,2022 Budapest Event Visa,FIA event visa publishes Natalie Corsmit as NLD; normalized to NED.
fia_2023_baku_steve_pence,steve_pence,2023-04-28,exact,USA,USA,fia_published_country_code,official_fia_event_visa,https://www.fia.com/sites/default/files/decision-document/2023%20Baku%20Event%20-%20VISA%20-%20F2%20Baku%202023.pdf,2023 Baku Event F2 Visa,FIA event visa publishes Steve Pence as USA.
fia_2023_baku_istvan_moni,istvan_moni,2023-04-28,exact,HUN,HUN,fia_published_country_code,official_fia_event_visa,https://www.fia.com/sites/default/files/decision-document/2023%20Baku%20Event%20-%20VISA%20-%20F2%20Baku%202023.pdf,2023 Baku Event F2 Visa,FIA event visa publishes Istvan Moni as HUN.
fia_2023_baku_emanuele_pirro,emanuele_pirro,2023-04-28,exact,ITA,ITA,fia_published_country_code,official_fia_event_visa,https://www.fia.com/sites/default/files/decision-document/2023%20Baku%20Event%20-%20VISA%20-%20F2%20Baku%202023.pdf,2023 Baku Event F2 Visa,FIA event visa publishes Emanuele Pirro as ITA.
fia_2023_spielberg_dennis_dean,dennis_dean,2023-06-30,exact,USA,USA,fia_published_country_code,official_fia_event_visa,https://www.fia.com/sites/default/files/decision-document/2023%20Spielberg%20Event%20-%20VISA%20F2%20Spielberg%202023.pdf,2023 Spielberg Event F2 Visa,FIA event visa publishes Dennis Dean as USA.
fia_2023_spielberg_istvan_moni,istvan_moni,2023-06-30,exact,HUN,HUN,fia_published_country_code,official_fia_event_visa,https://www.fia.com/sites/default/files/decision-document/2023%20Spielberg%20Event%20-%20VISA%20F2%20Spielberg%202023.pdf,2023 Spielberg Event F2 Visa,FIA event visa publishes Istvan Moni as HUN.
fia_2023_spielberg_pedro_lamy,pedro_lamy,2023-06-30,exact,PRT,POR,fia_published_country_code,official_fia_event_visa,https://www.fia.com/sites/default/files/decision-document/2023%20Spielberg%20Event%20-%20VISA%20F2%20Spielberg%202023.pdf,2023 Spielberg Event F2 Visa,FIA event visa publishes Pedro Lamy as PRT; normalized to POR.
fia_2024_perini_biography,matteo_perini,2024-10-01,month,ITA,ITA,fia_biographical_country,official_fia_article,https://www.fia.com/news/fia-introduces-new-officials-department-provide-centralised-approach-be-place-2025-season,FIA Introduces New Officials Department,FIA describes Matteo Perini as Italian.
fia_2025_wmsc_garry_connelly,garry_connelly,2025-06-08,exact,AUS,AUS,fia_published_country_code,official_fia_governance_list,https://www.fia.com/sites/default/files/wmsc_members_and_deputies_08.06.2025.pdf,2025 World Motor Sport Council,FIA council list publishes Garry Connelly as AUS.
fia_2025_wmsc_tom_kristensen,tom_kristensen,2025-06-08,exact,DNK,DEN,fia_published_country_code,official_fia_governance_list,https://www.fia.com/sites/default/files/wmsc_members_and_deputies_08.06.2025.pdf,2025 World Motor Sport Council,FIA council list publishes Tom Kristensen as DNK; normalized to DEN.
fia_2025_wmsc_andrew_mallalieu,andrew_mallalieu,2025-06-08,exact,BRB,BAR,fia_published_country_code,official_fia_governance_list,https://www.fia.com/sites/default/files/wmsc_members_and_deputies_08.06.2025.pdf,2025 World Motor Sport Council,FIA council list publishes Andrew Mallalieu as BRB; normalized to BAR.
fia_2025_wmsc_eric_barrabino,eric_barrabino,2025-06-08,exact,MCO,MON,fia_published_country_code,official_fia_governance_list,https://www.fia.com/sites/default/files/wmsc_members_and_deputies_08.06.2025.pdf,2025 World Motor Sport Council,FIA council list publishes Eric Barrabino as MCO; normalized to MON.
fia_2025_committee_amro_al_hamad,amro_al_hamad,2025-06-10,exact,QAT,QAT,fia_published_country_code,official_fia_governance_list,https://www.fia.com/sites/default/files/wmsc_committees_-_members_10.06.2025.pdf,2025 WMSC Committees,FIA committee list publishes Amro Al Hamad as QAT.
fia_2025_saudi_nish_shetty,nish_shetty,2025-04-18,exact,SGP,SGP,fia_published_country_code,official_fia_event_media_kit,https://www.fia.com/sites/default/files/pdf_saudi_media_kit-2025-english.pdf,2025 Saudi Arabian Grand Prix Media Kit,FIA event media kit publishes Nish Shetty as SGP.
fia_2025_saudi_loic_bacquelaine,loic_bacquelaine,2025-04-18,exact,LUX,LUX,fia_published_country_code,official_fia_event_media_kit,https://www.fia.com/sites/default/files/pdf_saudi_media_kit-2025-english.pdf,2025 Saudi Arabian Grand Prix Media Kit,FIA event media kit publishes Loic Bacquelaine as LUX.
fia_2025_saudi_enrique_bernoldi,enrique_bernoldi,2025-04-18,exact,BRA,BRA,fia_published_country_code,official_fia_event_media_kit,https://www.fia.com/sites/default/files/pdf_saudi_media_kit-2025-english.pdf,2025 Saudi Arabian Grand Prix Media Kit,FIA event media kit publishes Enrique Bernoldi as BRA.
fia_2025_saudi_matthew_selley,matthew_selley,2025-04-18,exact,AUS,AUS,fia_published_country_code,official_fia_event_media_kit,https://www.fia.com/sites/default/files/pdf_saudi_media_kit-2025-english.pdf,2025 Saudi Arabian Grand Prix Media Kit,FIA event media kit publishes Matt Selley as AUS.
fia_2013_britain_gerd_ennser,gerd_ennser,2013-06-28,exact,DEU,GER,fia_asn_affiliation,official_fia_event_preview,https://www.fia.com/news/british-grand-prix-preview,British Grand Prix Preview,FIA biography links Gerd Ennser to German ASN DMSB; normalized to GER.
fia_2018_bio_steve_stringwell,steve_stringwell,2018-01-01,year,GBR,GBR,fia_biographical_country,official_fia_steward_biography,https://www.fia.com/sites/default/files/race_stewards_biographies.pdf,Race Stewards Biographies,FIA biography describes Steve Stringwell as English.
fia_2015_spielberg_walter_jobst,walter_jobst,2015-07-31,exact,AUT,AUT,fia_published_country_code,official_fia_event_preview,https://www.fia.com/news/f3-2015-race-spielberg-preview,F3 2015 Race of Spielberg Preview,FIA officials list publishes Walter Jobst as AUT.
fia_2014_wtcc_paolo_longoni,paolo_longoni,2014-01-01,year,ITA,ITA,fia_published_country_code,official_fia_event_preview,https://www.fia.com/news/wtcc-race-austria-preview,WTCC Race of Austria Preview,FIA officials list publishes Paolo Longoni as ITA.
fia_2022_bio_david_domingo,david_domingo,2022-05-20,exact,ESP,ESP,fia_asn_affiliation,official_fia_event_preview,https://www.fia.com/sites/default/files/2022_spanish_gp_preview.pdf,2022 Spanish Grand Prix Preview,FIA biography identifies Domingo as a Spanish ASN steward.
fia_2017_governance_jose_abed,jose_abed,2017-12-08,exact,MEX,MEX,fia_asn_affiliation,official_fia_governance_list,https://www.fia.com/news/fia-annual-general-assembly,FIA Annual General Assembly,FIA governance list associates Jose Abed with OMDAI Mexico.
f1_2000_luciano_burti,luciano_burti,2000-12-31,season,BRA,BRA,formula1_competition_nationality,official_formula1_standings,https://www.formula1.com/en/results/2000/drivers,2000 Drivers Standings,Official Formula 1 standings publish Burti as BRA.
fia_2024_committee_yves_bacquelaine,yves_bacquelaine,2024-05-15,exact,BEL,BEL,fia_published_country_code,official_fia_governance_list,https://www.fia.com/sites/default/files/wmsc_committees_15052024.pdf,2024 WMSC Committees,FIA committee list publishes Yves Bacquelaine as BEL.
